date,equity,cash,peak,drawdown,daily_return
2025-02-27,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-28,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-03,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-04,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-05,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-06,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-07,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-10,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-11,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-12,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-13,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-17,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-18,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-19,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-20,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-21,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-24,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-25,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-26,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-27,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-03-28,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-01,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-02,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-03,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-04,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-07,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-08,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-09,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-11,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-15,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-16,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
